Precio,Area,Habitaciones,Banios,Pisos,Carretera,Huespedes,Sotano,Calefaccion,AC,Estacionamiento,Preferencial,Mobiliario
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3430000.0,8960.0,4.0,4.0,4,0,1,1,1,0,3,1,0
3430000.0,9960.0,3.0,2.0,2,0,1,0,1,1,2,0,1
3194800.0,7420.0,4.0,1.0,2,0,0,0,1,0,2,1,0
3038000.0,7500.0,3.0,3.0,1,0,1,0,1,0,2,0,1
2842000.0,8580.0,4.0,3.0,4,0,1,1,1,0,2,0,1
2842000.0,16200.0,5.0,3.0,2,0,1,1,1,1,0,1,2
2763600.0,8100.0,4.0,1.0,2,0,0,0,1,0,2,0,0
2744000.0,5750.0,3.0,2.0,4,0,0,1,1,0,1,0,2
2744000.0,13200.0,3.0,1.0,2,0,1,0,1,0,2,0,0
2710680.0,6000.0,4.0,3.0,2,0,0,0,0,1,2,1,1
2606800.0,6550.0,4.0,2.0,2,0,1,1,1,0,1,0,1
2587200.0,3500.0,4.0,2.0,2,0,1,1,0,1,2,1,0
2587200.0,7800.0,3.0,2.0,2,0,1,1,1,1,0,0,1
2548000.0,6000.0,4.0,1.0,2,0,1,0,1,1,2,1,1
2548000.0,6600.0,4.0,2.0,2,0,0,0,1,0,1,0,2
2508800.0,8500.0,3.0,2.0,4,0,1,1,1,0,2,1,0
2489200.0,4600.0,3.0,2.0,2,0,0,1,1,0,2,1,0
2479400.0,6420.0,3.0,2.0,2,0,1,1,1,0,1,0,1
2450000.0,4320.0,3.0,1.0,2,0,1,0,0,1,2,1,1
2430400.0,7155.0,3.0,2.0,1,0,0,0,1,0,2,1,2
2420600.0,8050.0,3.0,1.0,1,0,0,0,1,0,1,1,0
2420600.0,4560.0,3.0,2.0,2,0,0,0,1,0,1,1,0
2401000.0,8800.0,3.0,2.0,2,0,1,1,1,0,2,1,0
2391200.0,6540.0,4.0,2.0,2,0,0,0,1,0,2,0,0
2369640.0,6000.0,3.0,2.0,4,0,0,0,1,0,0,0,1
2352000.0,8875.0,3.0,1.0,1,0,1,1,1,1,1,1,1
2352000.0,7950.0,5.0,2.0,2,0,1,0,0,1,2,1,2
2352000.0,5500.0,4.0,2.0,2,0,1,0,1,0,1,0,1
2352000.0,7475.0,3.0,2.0,4,0,1,1,1,0,2,1,2
2352000.0,7000.0,3.0,1.0,4,0,1,1,1,0,2,1,1
2322600.0,4880.0,4.0,2.0,2,0,1,1,1,0,1,0,0
2293200.0,5960.0,3.0,3.0,2,0,0,0,1,1,1,1,2
2273600.0,6840.0,5.0,1.0,2,0,0,0,1,0,1,1,0
2252040.0,7482.0,3.0,2.0,3,0,1,1,0,1,1,0,0
2234400.0,9000.0,4.0,2.0,4,0,1,1,1,0,2,1,0
2229500.0,6000.0,3.0,1.0,4,0,0,1,1,0,2,1,2
2214800.0,6000.0,4.0,2.0,4,0,1,1,1,0,1,1,1
2205000.0,6550.0,3.0,1.0,2,0,1,0,1,0,0,0,0
2195200.0,6360.0,3.0,2.0,4,0,1,1,1,0,0,0,0
2156000.0,6480.0,3.0,2.0,4,0,1,1,1,0,2,1,2
2156000.0,6000.0,4.0,2.0,4,0,1,1,1,1,2,1,1
2116800.0,6000.0,4.0,2.0,4,0,1,1,1,0,1,1,0
2116800.0,6000.0,3.0,2.0,3,0,1,1,1,0,0,1,1
2107000.0,6000.0,3.0,2.0,4,0,1,1,1,0,1,1,0
2097200.0,6600.0,3.0,1.0,4,0,1,1,1,0,3,0,0
2087400.0,4300.0,3.0,2.0,2,0,1,0,1,1,1,1,2
2077600.0,7440.0,3.0,2.0,1,0,0,0,1,0,0,0,1
2077600.0,7440.0,3.0,2.0,4,0,1,1,1,1,1,0,2
2077600.0,6325.0,3.0,1.0,4,0,1,1,1,0,1,1,2
2058000.0,6000.0,4.0,2.0,4,0,0,1,1,0,1,1,0
2058000.0,5150.0,3.0,2.0,4,0,1,1,1,0,2,1,1
2058000.0,6000.0,3.0,2.0,2,0,0,1,1,0,1,1,1
2058000.0,6000.0,3.0,1.0,2,0,1,1,1,0,1,1,2
2056040.0,11440.0,4.0,1.0,2,0,1,0,1,1,1,0,1
2028600.0,9000.0,4.0,2.0,4,0,0,1,1,0,1,0,0
2018800.0,7680.0,4.0,2.0,4,0,0,1,1,0,1,1,1
2018800.0,6000.0,3.0,2.0,4,0,0,1,1,0,1,1,0
1999200.0,6000.0,3.0,2.0,2,0,0,1,1,1,1,1,1
1979600.0,8880.0,2.0,1.0,1,0,1,1,1,0,1,1,1
1979600.0,6240.0,4.0,2.0,2,0,1,1,1,0,1,1,0
1969800.0,6360.0,4.0,2.0,3,0,1,1,1,0,2,0,0
1960000.0,11175.0,3.0,1.0,1,0,1,0,1,0,1,0,0
1940400.0,8880.0,3.0,2.0,2,0,1,0,1,0,1,1,0
1940400.0,13200.0,2.0,1.0,1,0,1,0,0,1,1,1,0
1930600.0,7700.0,3.0,2.0,1,0,1,1,1,1,2,1,2
1920800.0,6000.0,3.0,1.0,1,0,1,1,1,0,1,1,0
1901200.0,12090.0,4.0,2.0,2,0,1,1,1,1,2,0,0
1901200.0,4000.0,3.0,2.0,2,0,1,0,1,0,0,0,1
1891400.0,6000.0,4.0,2.0,4,0,1,1,1,0,0,1,2
1881600.0,5020.0,3.0,1.0,4,0,1,1,1,0,0,0,2
1871800.0,6600.0,2.0,2.0,4,0,1,0,1,1,0,0,0
1862000.0,4040.0,3.0,1.0,2,0,1,0,0,1,1,1,0
1862000.0,4260.0,4.0,2.0,2,0,1,1,0,1,0,1,1
1862000.0,6420.0,3.0,2.0,3,0,1,1,1,0,0,0,0
1862000.0,6500.0,3.0,2.0,3,0,1,1,1,0,0,0,0
1862000.0,5700.0,3.0,1.0,1,0,0,0,1,0,2,0,0
1862000.0,6000.0,3.0,2.0,3,0,0,1,1,0,0,1,0
1856120.0,6000.0,3.0,1.0,2,0,1,1,0,1,1,0,1
1852200.0,4000.0,3.0,2.0,2,0,1,0,1,0,1,1,1
1852200.0,10500.0,3.0,2.0,1,0,1,0,1,0,1,0,0
1842400.0,6000.0,3.0,2.0,4,0,1,1,1,0,0,1,1
1822800.0,3760.0,3.0,1.0,2,0,1,1,0,1,2,1,1
1822800.0,8250.0,3.0,2.0,3,0,1,1,1,0,0,1,0
1822800.0,6670.0,3.0,1.0,3,0,1,0,1,1,0,0,2
1813000.0,3960.0,3.0,1.0,1,0,1,0,1,1,2,1,1
1813000.0,7410.0,3.0,1.0,1,0,0,0,1,0,2,0,2
1803200.0,8580.0,5.0,3.0,2,0,1,1,1,1,2,1,0
1797320.0,6750.0,2.0,1.0,1,0,0,0,1,1,2,0,0
1793400.0,4800.0,3.0,2.0,4,0,0,1,1,0,0,1,0
1764000.0,7200.0,3.0,2.0,1,0,1,0,1,0,3,1,1
1764000.0,4100.0,3.0,2.0,3,0,1,1,1,0,2,1,1
1764000.0,9000.0,3.0,1.0,1,0,1,0,1,1,1,0,0
1764000.0,6400.0,3.0,1.0,1,0,0,0,1,0,1,0,1
1762040.0,6600.0,3.0,2.0,3,0,1,1,1,0,0,0,2
1744400.0,6600.0,3.0,2.0,1,0,1,0,1,0,0,0,2
